id,sex,inr_avg,ing_avg,inb_avg,incolor,totalthroat,innnerthroat,outerthroat,inratio,outratio,totalratio,morph,outr_avg,outg_avg,outb_avg,outcolor,notes,site,sitetype,sex2,date,bltime,svl,mass,morph2,stage,clutch,f1,f2,f3,f4,f5,f6,f7,f8,l,w,trayid,mass.n,mass.c,C.N,ape.n,ape.c,d15N,d13C,paintid,blvol,oxy,droms,blbka,notes,maxrepro,totalcolor,incolorindex,outcolorindex,blotch.area,repro,avgrepro,blcort
122(2/4),f,0,0,0,NA,106.13,0,10.23,0,0.096391218,0.096391218,oo,210,174,155,1.206896552,,Browse,rural,m,5/4/16,12:28,51,3.9,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.4,,NA,NA,NA,NA,NA,NA,NA,25,21,343.2890855,16.09488612,77.13248639,missing toes 2 & 4,NA,NA,NA,0.116334229,0.7536,NA,NA,20.773
1221,f,0,0,0,NA,88.21,0,4.66,0,0.052828477,0.052828477,oo,217,198,181,1.095959596,,Browse,rural,f,5/9/16,12:09,51,4.3,orange,gravid,4,0.93,0.8,0.78,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,26,350.5162242,20.97945853,31.03448276,toeclip 4554,0.93,NA,NA,0.057897876,NA,3.17,0.7925,52.109
1230,m,197,210,206,0.980952381,92.08,19.41,20.31,0.210794961,0.22056907,0.431364031,ob,225,194,157,1.159793814,,Bluff,urban,m,5/5/16,9:36,51,4,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.35,A1,165.7276497,565.0521901,3.409522739,0.369159075,1.08665293,7.825165631,-22.00315136,19,58,353.6135693,4.961581435,26.3322884,bite mark; plasma tube labeled 140,NA,0.462594462,0.206779819,0.255814643,0.7693,NA,NA,NA
1231,f,0,0,0,NA,69.85,0,1.64,0,0.023478883,0.023478883,oo,207,194,181,1.067010309,,Bluff,urban,f,5/5/16,9:42,45,2.7,orange,early/mid,5,0.3,0.28,0.31,0.25,0.29,NA,NA,NA,NA,NA,A2,134.6790969,450.1179671,3.342151659,0.369363593,1.086575958,8.385579823,-22.03949623,20,64,332.9646018,61.33218737,107.8369906,,0.3,NA,NA,0.02505221,NA,1.43,0.286,6.126
1232,m,199,214,215,1.004672897,83.36,13.24,6.05,0.158829175,0.072576775,0.23140595,yb,222,226,211,0.982300885,,Bluff,urban,m,5/5/16,9:42,47,3,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,A3,154.2339091,509.960147,3.306407456,0.369565999,1.086666698,8.940297597,-21.95476003,21,41,348.4513274,38.1414697,78.9968652,regrowing tail; bite marks,NA,0.230863598,0.159571367,0.07129223,0.3768,NA,NA,12.5
1233,f,0,0,0,NA,83.98,0,7.42,0,0.08835437,0.08835437,oo,225,198,172,1.136363636,,Bluff,urban,f,5/5/16,9:53,49,3.3,orange,early/mid,4,0.3,0.27,0.21,0.23,NA,NA,NA,NA,NA,NA,A4,188.2299524,641.6600882,3.408915956,0.370207113,1.086802755,10.69692745,-21.84525544,22,14,337.0943953,28.02028363,55.48589342,,0.3,NA,NA,0.100402693,NA,1.01,0.2525,NA
1234,m,182,199,198,0.994974874,106.4,39.49,10.39,0.371146617,0.097650376,0.468796992,ob,211,184,152,1.14673913,,Bluff,urban,m,5/5/16,9:58,52,4.8,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.3,A5,169.4529594,552.1176055,3.25823525,0.370362629,1.086601038,11.12330525,-22.01190718,23,34,332.9646018,36.99733563,66.45768025,bite marks on neck; stubbed tail; several bite marks,NA,0.481261066,0.369281558,0.111979507,0.6594,NA,NA,12.5
1235,m,184,207,216,1.043478261,100.3,38.62,4.73,0.385044865,0.047158524,0.43220339,ob,227,219,200,1.03652968,,Bluff,urban,m,5/5/16,10:24,51,4,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.3,A6,179.5012154,595.7623959,3.318988089,0.371563145,1.094370382,14.41288539,NA,25,36,344.3215339,21.46351526,38.55799373,,NA,0.450667156,0.401785946,0.04888121,0.7536,NA,NA,15.429
1240,f,0,0,0,NA,74.88,0,5.74,0,0.076655983,0.076655983,oo,221,203,186,1.088669951,,Bluff,urban,f,5/5/16,10:25,48,3.7,orange,late,4,0.53,0.55,0.69,0.75,NA,NA,NA,NA,NA,NA,A7,72.17248393,320.3892348,4.439215853,0.371263325,1.087318246,13.59128999,-21.33579536,26,21,346.3864307,54.29136227,42.94670846,natural loss 200 toe,0.55,NA,NA,0.083453065,NA,2.52,0.63,42.169
1241,f,0,0,0,NA,87.76,0,7.47,0,0.085118505,0.085118505,oo,215,186,159,1.155913978,,Bluff,urban,f,5/5/16,10:32,51,4.2,orange,mid,4,0.43,0.47,0.46,0.48,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,27,36,340.1917404,54.59939837,44.20062696,bite marks,0.47,NA,NA,0.09838967,NA,1.84,0.46,45.418
1242,f,0,0,0,NA,68.6,0,7.18,0,0.104664723,0.104664723,oo,224,192,164,1.166666667,,Bluff,urban,f,5/5/16,10:35,46,3.1,orange,gravid,3,0.81,0.84,1,NA,NA,NA,NA,NA,NA,NA,A8,162.7354217,533.0972249,3.275852419,0.370917971,1.090738075,12.64492358,-18.34614644,28,23,351.5486726,16.71095832,19.7492163,regrowing tail,0.84,NA,NA,0.122108844,NA,2.65,0.883333333,98.31
1243,m,195,207,206,0.995169082,84.72,5.61,1.88,0.06621813,0.022190746,0.088408876,yb,212,215,206,0.986046512,,Bluff,urban,m,5/5/16,11:02,48,3.4,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.2,A9,186.1253916,612.3429828,3.289948661,0.369006963,1.085593555,7.408346771,-22.90994851,29,35,352.5811209,14.0706489,28.21316614,bite marks; tail tip slightly broken,NA,0.087779343,0.065898236,0.021881108,0.2826,NA,NA,11.433
1244,f,0,0,0,NA,83.2,0,10.63,0,0.127764423,0.127764423,oo,212,189,165,1.121693122,,Bluff,urban,m,5/5/16,11:07,46,2.9,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.15,A10,194.2417323,637.0512689,3.279682802,0.369174806,1.085894061,7.868331595,-22.64359244,30,42,344.3215339,17.10700473,35.10971787,bite marks,NA,NA,NA,0.143312475,0.2355,NA,NA,8.834
1245,f,0,0,0,NA,74.48,0,15.23,0,0.204484425,0.204484425,oo,200,169,132,1.183431953,,Bluff,urban,f,5/5/16,11:07,48,3.2,orange,gravid,3,0.66,0.7,1.03,NA,NA,NA,NA,NA,NA,NA,A11,128.937625,429.5576992,3.331515523,0.369077904,1.08792466,7.60263958,-20.81000878,31,26,347.4188791,33.9609798,20.06269592,bite marks,0.7,NA,NA,0.241993402,NA,2.39,0.796666667,34.762
1251,f,216,218,184,0.990825688,97.75,20.18,3.32,0.206445013,0.033964194,0.240409207,oy,211,199,152,1.060301508,,Manowar,urban,f,5/5/16,11:28,51,3.3,yellow,early,4,0.31,0.36,0.28,0.31,NA,NA,NA,NA,NA,NA,B2,180.2875847,593.0250359,3.289328197,0.370706015,1.08826639,12.06409653,-20.54132454,1,15,336.0619469,49.53880533,62.06896552,bite marks on tail,0.36,0.240563308,0.204551022,0.036012286,NA,1.26,0.315,NA
1252,f,0,0,0,NA,83.51,0,64.95,0,0.777751168,0.777751168,oo,217,190,161,1.142105263,,Manowar,urban,f,5/5/16,11:31,48,3.5,orange,mid,5,0.52,0.51,0.58,0.53,0.54,NA,NA,NA,NA,NA,B3,129.2139813,425.1536802,3.290307101,0.370940497,1.087735587,12.70653874,-20.9660591,2,32,344.3215339,49.0547486,14.10658307,bite marks on chin; tail; tail regrown,0.52,NA,NA,0.888273702,NA,2.68,0.536,19.052
1253,m,0,0,0,0,92.86,0,1.19,0,0.01281499,0.01281499,yy,203,203,182,1,,Manowar,urban,m,5/5/16,11:42,51,4.7,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.25,B5,193.5835131,625.0417079,3.228796182,0.369814039,1.089576641,9.619860645,-19.38170707,4,55,352.5811209,13.54258702,72.4137931,regrown tail tip (slight),NA,0.01281499,0,0.01281499,0.43175,NA,NA,4.507
1254,f,0,0,0,NA,74.78,0,4.81,0,0.064322011,0.064322011,oo,216,201,184,1.074626866,,Manowar,urban,f,5/5/16,11:49,47,3.8,orange,late,4,0.75,0.82,0.7,0.81,NA,NA,NA,NA,NA,NA,B6,196.2218175,697.380895,3.554043602,0.369058188,1.08617596,7.54880999,-22.40845998,5,27,349.4837758,21.15547916,38.55799373,regrown tail,0.82,NA,NA,0.069122161,NA,3.08,0.77,23.885
1255,f,0,0,0,NA,76.81,0,36.69,0,0.477672178,0.477672178,oo,225,161,112,1.397515528,,Manowar,urban,f,5/5/16,12:10,48,3.5,orange,mid,4,0.6,0.52,0.55,0.55,NA,NA,NA,NA,NA,NA,B7,171.8321382,557.5052022,3.244475731,0.369044706,1.090073316,7.511664844,-18.93740143,9,17,328.8348083,30.66059304,108.4639498,,0.6,NA,NA,0.667554286,NA,2.22,0.555,NA
1301,f,0,0,0,NA,83.39,0,8.71,0,0.104448975,0.104448975,oo,235,213,180,1.103286385,oy?,Manowar,urban,f,5/5/16,12:01,50,3.5,yellow,mid,4,0.53,0.59,0.48,0.44,NA,NA,NA,NA,NA,NA,B8,111.9356574,359.0446178,3.207598241,0.369256019,1.088318483,8.0908768,-20.45305357,7,35,348.4513274,51.03498066,31.03448276,bite marks; regrown tail,0.59,NA,NA,0.115237132,NA,2.04,0.51,17.972
1302,m,208,222,219,0.986486486,98.73,15.57,12.98,0.157702826,0.131469665,0.289172491,yb,233,234,214,0.995726496,,Manowar,urban,m,5/5/16,11:51,50,3.7,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.15,B9,141.4321913,467.6183733,3.306307913,0.369217381,1.088906037,7.984887014,-19.94615991,6,31,352.5811209,11.91439622,33.54231975,,NA,0.286479536,0.155571707,0.130907829,0.25905,NA,NA,2.604
1303,m,213,223,209,0.937219731,93.08,8.9,34.9,0.095616674,0.374946283,0.470562957,ob,231,216,182,1.069444444,,Manowar,urban,m,5/5/16,12:17,49,3.9,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.4,B11,168.4154749,549.2202389,3.261103169,0.369161124,1.088229324,7.830724839,-20.54945872,11,37,352.5811209,16.22690159,41.69278997,several bite marks; tail regrowing,NA,0.490598053,0.089613833,0.400984219,0.628,NA,NA,3.99
